,occupation,competency,category,description
0,Computer and Information Research Scientists,Source code management SCM software,Technology Skills,Development environment software
1,Computer and Information Research Scientists,Microsoft Azure,Technology Skills,Development environment software
2,Computer and Information Research Scientists,Visualization,Abilities,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
3,Computer and Information Research Scientists,Free-field speakers,Tools Used,Loudspeakers
4,Computer and Information Research Scientists,Data visualization software,Technology Skills,Analytical or scientific software
5,Computer and Information Research Scientists,Judgment and Decision Making,Skills,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
6,Computer and Information Research Scientists,Linux,Technology Skills,Operating system software
7,Computer and Information Research Scientists,IBM Rational Apex,Technology Skills,Configuration management software
8,Computer and Information Research Scientists,Minitab,Technology Skills,Analytical or scientific software
9,Computer and Information Research Scientists,Evaluate project plans and proposals to assess feasibility issues.,Task Statements,Core
10,Computer and Information Research Scientists,Processing Information,Work Activities,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data."
11,Computer and Information Research Scientists,Time Management,Skills,Managing one's own time and the time of others.
12,Computer and Information Research Scientists,Reading Comprehension,Skills,Understanding written sentences and paragraphs in work related documents.
13,Computer and Information Research Scientists,Integrity,Work Styles,Job requires being honest and ethical.
14,Computer and Information Research Scientists,PHP: Hypertext Preprocessor,Technology Skills,Web platform development software
15,Computer and Information Research Scientists,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Work Activities,"Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity."
16,Computer and Information Research Scientists,Polaris parallelizing compilers,Technology Skills,Compiler and decompiler software
17,Computer and Information Research Scientists,Network storage arrays,Tools Used,Hard disk arrays
18,Computer and Information Research Scientists,Mathematical Reasoning,Abilities,The ability to choose the right mathematical methods or formulas to solve a problem.
19,Computer and Information Research Scientists,Polhemus Fasttrack System,Technology Skills,Analytical or scientific software
20,Computer and Information Research Scientists,Computer scanners,Tools Used,Scanners
21,Computer and Information Research Scientists,Integrated development environment IDE software,Technology Skills,Development environment software
22,Computer and Information Research Scientists,Adaptability/Flexibility,Work Styles,Job requires being open to change (positive or negative) and to considerable variety in the workplace.
23,Computer and Information Research Scientists,Analytical Thinking,Work Styles,Job requires analyzing information and using logic to address work-related issues and problems.
24,Computer and Information Research Scientists,Hard disk drives,Tools Used,Hard disk drives
25,Computer and Information Research Scientists,Administration and Management,Knowledge,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources."
26,Computer and Information Research Scientists,Documenting/Recording Information,Work Activities,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form."
27,Computer and Information Research Scientists,Speech Recognition,Abilities,The ability to identify and understand the speech of another person.
28,Computer and Information Research Scientists,IBM Cognos Impromptu,Technology Skills,Business intelligence and data analysis software
29,Computer and Information Research Scientists,Microsoft ActiveX,Technology Skills,Object or component oriented development software
30,Computer and Information Research Scientists,Sun Microsystems Solaris,Technology Skills,Operating system software
31,Computer and Information Research Scientists,Coordination,Skills,Adjusting actions in relation to others' actions.
32,Computer and Information Research Scientists,Social Orientation,Work Styles,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
33,Computer and Information Research Scientists,Intel Math Kernel Library,Technology Skills,Analytical or scientific software
34,Computer and Information Research Scientists,Mathematical software,Technology Skills,Analytical or scientific software
35,Computer and Information Research Scientists,Systems Analysis,Skills,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
36,Computer and Information Research Scientists,R,Technology Skills,Object or component oriented development software
37,Computer and Information Research Scientists,Relational database management system software,Technology Skills,Data base management system software
38,Computer and Information Research Scientists,"Identifying Objects, Actions, and Events",Work Activities,"Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events."
39,Computer and Information Research Scientists,Three-dimensional 3D graphics software,Technology Skills,Graphics or photo imaging software
40,Computer and Information Research Scientists,StataCorp Stata,Technology Skills,Analytical or scientific software
41,Computer and Information Research Scientists,ESRI ArcGIS software,Technology Skills,Map creation software
42,Computer and Information Research Scientists,Training and Teaching Others,Work Activities,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others."
43,Computer and Information Research Scientists,IBM InfoSphere DataStage,Technology Skills,Enterprise application integration software
44,Computer and Information Research Scientists,Relationships,Work Values,"Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service."
45,Computer and Information Research Scientists,Independence,Work Values,"Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy."
46,Computer and Information Research Scientists,Stereographic projectors,Tools Used,Multimedia projectors
47,Computer and Information Research Scientists,The MathWorks MATLAB,Technology Skills,Analytical or scientific software
48,Computer and Information Research Scientists,Mathematics,Knowledge,"Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications."
49,Computer and Information Research Scientists,Apache Kafka,Technology Skills,Development environment software
50,Computer and Information Research Scientists,Web servers,Tools Used,Computer servers
51,Computer and Information Research Scientists,Microsoft Visual Basic,Technology Skills,Development environment software
52,Computer and Information Research Scientists,Object oriented development environment software,Technology Skills,Object or component oriented development software
53,Computer and Information Research Scientists,MicroStrategy,Technology Skills,Business intelligence and data analysis software
54,Computer and Information Research Scientists,Operations Analysis,Skills,Analyzing needs and product requirements to create a design.
55,Computer and Information Research Scientists,"Monitor Processes, Materials, or Surroundings",Work Activities,"Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems."
56,Computer and Information Research Scientists,Perceptual Speed,Abilities,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object."
57,Computer and Information Research Scientists,Interacting With Computers,Work Activities,"Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information."
58,Computer and Information Research Scientists,Laser scanners,Tools Used,Scanners
59,Computer and Information Research Scientists,Shell script,Technology Skills,Operating system software
60,Computer and Information Research Scientists,Plug-in file software,Technology Skills,Web page creation and editing software
61,Computer and Information Research Scientists,Graphics pipelines,Technology Skills,Graphics or photo imaging software
62,Computer and Information Research Scientists,Massively parallel processors MPP,Tools Used,High end computer servers
63,Computer and Information Research Scientists,Provide Consultation and Advice to Others,Work Activities,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics."
64,Computer and Information Research Scientists,Video projectors,Tools Used,Multimedia projectors
65,Computer and Information Research Scientists,Unified modeling language UML,Technology Skills,Requirements analysis and system architecture software
66,Computer and Information Research Scientists,Eclipse IDE,Technology Skills,Development environment software
67,Computer and Information Research Scientists,List processing language LISP,Technology Skills,Development environment software
68,Computer and Information Research Scientists,Achievement,Work Values,"Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement."
69,Computer and Information Research Scientists,Attention to Detail,Work Styles,Job requires being careful about detail and thorough in completing work tasks.
70,Computer and Information Research Scientists,Advanced numerical software,Technology Skills,Analytical or scientific software
71,Computer and Information Research Scientists,SAS,Technology Skills,Analytical or scientific software
72,Computer and Information Research Scientists,Apache Hive,Technology Skills,Data base user interface and query software
73,Computer and Information Research Scientists,Rice Simulator for ILP Multiprocessors RSIM,Technology Skills,Analytical or scientific software
74,Computer and Information Research Scientists,Open Graphics Library OpenGL,Technology Skills,Graphics or photo imaging software
75,Computer and Information Research Scientists,Algorithmic software,Technology Skills,Analytical or scientific software
76,Computer and Information Research Scientists,Design computers and the software that runs them.,Task Statements,Core
77,Computer and Information Research Scientists,Participate in staffing decisions and direct training of subordinates.,Task Statements,Supplemental
78,Computer and Information Research Scientists,Speaking,Skills,Talking to others to convey information effectively.
79,Computer and Information Research Scientists,Simulation software,Technology Skills,Analytical or scientific software
80,Computer and Information Research Scientists,"Consult with users, management, vendors, and technicians to determine computing needs and system requirements.",Task Statements,Core
81,Computer and Information Research Scientists,Lighting grids,Tools Used,Stage or projection or studio lighting system
82,Computer and Information Research Scientists,Learning Strategies,Skills,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
83,Computer and Information Research Scientists,Developing Objectives and Strategies,Work Activities,Establishing long-range objectives and specifying the strategies and actions to achieve them.
84,Computer and Information Research Scientists,Distributed heterogeneous computers,Tools Used,High end computer servers
85,Computer and Information Research Scientists,Leadership,Work Styles,"Job requires a willingness to lead, take charge, and offer opinions and direction."
86,Computer and Information Research Scientists,Ruby,Technology Skills,Development environment software
87,Computer and Information Research Scientists,Extensible stylesheet language transformations XSLT,Technology Skills,Web platform development software
88,Computer and Information Research Scientists,Evaluating Information to Determine Compliance with Standards,Work Activities,"Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards."
89,Computer and Information Research Scientists,Teradata Database,Technology Skills,Data base management system software
90,Computer and Information Research Scientists,Computational statistics software,Technology Skills,Analytical or scientific software
91,Computer and Information Research Scientists,Microsoft Excel,Technology Skills,Spreadsheet software
92,Computer and Information Research Scientists,VME PowerPC VxWorks,Technology Skills,Operating system software
93,Computer and Information Research Scientists,Microsoft PowerPoint,Technology Skills,Presentation software
94,Computer and Information Research Scientists,Scheduling Work and Activities,Work Activities,"Scheduling events, programs, and activities, as well as the work of others."
95,Computer and Information Research Scientists,Oracle Solaris,Technology Skills,Operating system software
96,Computer and Information Research Scientists,Pan-tilt-zoom cameras,Tools Used,Cinematographic cameras
97,Computer and Information Research Scientists,Real time motion capture systems,Tools Used,Camera based vision systems for automated data collection
98,Computer and Information Research Scientists,Written Comprehension,Abilities,The ability to read and understand information and ideas presented in writing.
99,Computer and Information Research Scientists,NoSQL,Technology Skills,Data base management system software
100,Computer and Information Research Scientists,PTC Creo Parametric,Technology Skills,Computer aided design CAD software
101,Computer and Information Research Scientists,Self Control,Work Styles,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
102,Computer and Information Research Scientists,Independence,Work Styles,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
103,Computer and Information Research Scientists,Oral Comprehension,Abilities,The ability to listen to and understand information and ideas presented through spoken words and sentences.
104,Computer and Information Research Scientists,Intel Integrated Performance Primitives,Technology Skills,Development environment software
105,Computer and Information Research Scientists,"Meet with managers, vendors, and others to solicit cooperation and resolve problems.",Task Statements,Core
106,Computer and Information Research Scientists,Support,Work Values,"Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical."
107,Computer and Information Research Scientists,C,Technology Skills,Development environment software
108,Computer and Information Research Scientists,Microcomputers,Tools Used,Microprocessors
109,Computer and Information Research Scientists,IBM Rational Rose,Technology Skills,Development environment software
110,Computer and Information Research Scientists,Mathematics,Skills,Using mathematics to solve problems.
111,Computer and Information Research Scientists,Python,Technology Skills,Object or component oriented development software
112,Computer and Information Research Scientists,Technology Design,Skills,Generating or adapting equipment and technology to serve user needs.
113,Computer and Information Research Scientists,"Develop and interpret organizational goals, policies, and procedures.",Task Statements,Core
114,Computer and Information Research Scientists,UNIX,Technology Skills,Operating system software
115,Computer and Information Research Scientists,Render farms,Tools Used,High end computer servers
116,Computer and Information Research Scientists,Augmint,Technology Skills,Analytical or scientific software
117,Computer and Information Research Scientists,Speech Clarity,Abilities,The ability to speak clearly so others can understand you.
118,Computer and Information Research Scientists,Eiffel,Technology Skills,Object or component oriented development software
119,Computer and Information Research Scientists,Flexibility of Closure,Abilities,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
120,Computer and Information Research Scientists,Mobile robots,Tools Used,Pick or place robots
121,Computer and Information Research Scientists,Embarcadero JBuilder,Technology Skills,Development environment software
122,Computer and Information Research Scientists,Active Listening,Skills,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
123,Computer and Information Research Scientists,C#,Technology Skills,Object or component oriented development software
124,Computer and Information Research Scientists,Django,Technology Skills,Web platform development software
125,Computer and Information Research Scientists,Microsoft SQL Server,Technology Skills,Data base user interface and query software
126,Computer and Information Research Scientists,SAP Business Objects,Technology Skills,Enterprise resource planning ERP software
127,Computer and Information Research Scientists,Geographic information system GIS software,Technology Skills,Map creation software
128,Computer and Information Research Scientists,Cooperation,Work Styles,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
129,Computer and Information Research Scientists,Cluster systems,Tools Used,High end computer servers
130,Computer and Information Research Scientists,Oracle Business Intelligence Enterprise Edition,Technology Skills,Business intelligence and data analysis software
131,Computer and Information Research Scientists,CA Erwin Data Modeler,Technology Skills,Metadata management software
132,Computer and Information Research Scientists,Apache Flume,Technology Skills,Data base management system software
133,Computer and Information Research Scientists,Automated document generation software,Technology Skills,Development environment software
134,Computer and Information Research Scientists,Qlik Tech QlikView,Technology Skills,Business intelligence and data analysis software
135,Computer and Information Research Scientists,Mainframe computers,Tools Used,Mainframe computers
136,Computer and Information Research Scientists,Bash,Technology Skills,Operating system software
137,Computer and Information Research Scientists,Telecommunications,Knowledge,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems."
138,Computer and Information Research Scientists,Engineering and Technology,Knowledge,"Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services."
139,Computer and Information Research Scientists,Data entry software,Technology Skills,Data base user interface and query software
140,Computer and Information Research Scientists,Interpreting the Meaning of Information for Others,Work Activities,Translating or explaining what information means and how it can be used.
141,Computer and Information Research Scientists,Prolog,Technology Skills,Development environment software
142,Computer and Information Research Scientists,Data mining software,Technology Skills,Data mining software
143,Computer and Information Research Scientists,Google Analytics,Technology Skills,Data mining software
144,Computer and Information Research Scientists,Low-level virtual machine LLVM compilers,Technology Skills,Compiler and decompiler software
145,Computer and Information Research Scientists,Elasticsearch,Technology Skills,Data base management system software
146,Computer and Information Research Scientists,Complex Problem Solving,Skills,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
147,Computer and Information Research Scientists,Concern for Others,Work Styles,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
148,Computer and Information Research Scientists,Tableau,Technology Skills,Business intelligence and data analysis software
149,Computer and Information Research Scientists,Perforce Software Configuration Management System,Technology Skills,Configuration management software
150,Computer and Information Research Scientists,Ubuntu,Technology Skills,Operating system software
151,Computer and Information Research Scientists,Google AdWords,Technology Skills,Sales and marketing software
152,Computer and Information Research Scientists,National Instruments LabVIEW,Technology Skills,Development environment software
153,Computer and Information Research Scientists,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",Task Statements,Core
154,Computer and Information Research Scientists,IBM SPSS Statistics,Technology Skills,Analytical or scientific software
155,Computer and Information Research Scientists,"Organizing, Planning, and Prioritizing Work",Work Activities,"Developing specific goals and plans to prioritize, organize, and accomplish your work."
156,Computer and Information Research Scientists,IBM Domino,Technology Skills,Communications server software
157,Computer and Information Research Scientists,MySQL,Technology Skills,Data base management system software
158,Computer and Information Research Scientists,Working Conditions,Work Values,"Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions."
159,Computer and Information Research Scientists,Near Vision,Abilities,The ability to see details at close range (within a few feet of the observer).
160,Computer and Information Research Scientists,Stress Tolerance,Work Styles,Job requires accepting criticism and dealing calmly and effectively with high stress situations.
161,Computer and Information Research Scientists,Extensible markup language XML,Technology Skills,Enterprise application integration software
162,Computer and Information Research Scientists,Assign or schedule tasks to meet work priorities and goals.,Task Statements,Core
163,Computer and Information Research Scientists,Computer laser printers,Tools Used,Laser printers
164,Computer and Information Research Scientists,Category Flexibility,Abilities,The ability to generate or use different sets of rules for combining or grouping things in different ways.
165,Computer and Information Research Scientists,Science,Skills,Using scientific rules and methods to solve problems.
166,Computer and Information Research Scientists,Parallel systems software,Technology Skills,Clustering software
167,Computer and Information Research Scientists,Microsoft Visual Basic.NET,Technology Skills,Object or component oriented development software
168,Computer and Information Research Scientists,Oracle Java,Technology Skills,Object or component oriented development software
169,Computer and Information Research Scientists,Image capture devices,Tools Used,Camera based vision systems for automated data collection
170,Computer and Information Research Scientists,Verilog,Technology Skills,Development environment software
171,Computer and Information Research Scientists,Apache Cassandra,Technology Skills,Data base management system software
172,Computer and Information Research Scientists,MongoDB,Technology Skills,Data base management system software
173,Computer and Information Research Scientists,Personal computers,Tools Used,Personal computers
174,Computer and Information Research Scientists,Communicating with Persons Outside Organization,Work Activities,"Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail."
175,Computer and Information Research Scientists,Deductive Reasoning,Abilities,The ability to apply general rules to specific problems to produce answers that make sense.
176,Computer and Information Research Scientists,Software libraries,Technology Skills,Development environment software
177,Computer and Information Research Scientists,Computers and Electronics,Knowledge,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming."
178,Computer and Information Research Scientists,Programming,Skills,Writing computer programs for various purposes.
179,Computer and Information Research Scientists,High-performance software libraries,Technology Skills,Development environment software
180,Computer and Information Research Scientists,Digital video cameras,Tools Used,Digital camcorders or video cameras
181,Computer and Information Research Scientists,Amazon Redshift,Technology Skills,Data base user interface and query software
182,Computer and Information Research Scientists,Apache HTTP Server,Technology Skills,Portal server software
183,Computer and Information Research Scientists,Clustermatic,Technology Skills,Clustering software
184,Computer and Information Research Scientists,Problem Sensitivity,Abilities,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem."
185,Computer and Information Research Scientists,"Develop performance standards, and evaluate work in light of established standards.",Task Statements,Core
186,Computer and Information Research Scientists,Microsoft Visual C# .NET,Technology Skills,Object or component oriented development software
187,Computer and Information Research Scientists,PostgreSQL,Technology Skills,Object oriented data base management software
188,Computer and Information Research Scientists,File servers,Tools Used,Computer servers
189,Computer and Information Research Scientists,Recognition,Work Values,"Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status."
190,Computer and Information Research Scientists,C++,Technology Skills,Object or component oriented development software
191,Computer and Information Research Scientists,Splunk Enterprise,Technology Skills,Enterprise system management software
192,Computer and Information Research Scientists,Thinking Creatively,Work Activities,"Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions."
193,Computer and Information Research Scientists,"Approve, prepare, monitor, and adjust operational budgets.",Task Statements,Supplemental
194,Computer and Information Research Scientists,Establishing and Maintaining Interpersonal Relationships,Work Activities,"Developing constructive and cooperative working relationships with others, and maintaining them over time."
195,Computer and Information Research Scientists,Video editing software,Technology Skills,Video creation and editing software
196,Computer and Information Research Scientists,Doxygen,Technology Skills,Development environment software
197,Computer and Information Research Scientists,Fluency of Ideas,Abilities,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."
198,Computer and Information Research Scientists,Active Learning,Skills,Understanding the implications of new information for both current and future problem-solving and decision-making.
199,Computer and Information Research Scientists,Quarter inch cartridge QIC tapes,Tools Used,Tape arrays
200,Computer and Information Research Scientists,JavaScript,Technology Skills,Web platform development software
201,Computer and Information Research Scientists,Multisensory data representation software,Technology Skills,Analytical or scientific software
202,Computer and Information Research Scientists,Oral Expression,Abilities,The ability to communicate information and ideas in speaking so others will understand.
203,Computer and Information Research Scientists,Information Ordering,Abilities,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."
204,Computer and Information Research Scientists,Apache Hadoop,Technology Skills,Data base management system software
205,Computer and Information Research Scientists,Instructing,Skills,Teaching others how to do something.
206,Computer and Information Research Scientists,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",Task Statements,Core
207,Computer and Information Research Scientists,Critical Thinking,Skills,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems."
208,Computer and Information Research Scientists,Making Decisions and Solving Problems,Work Activities,Analyzing information and evaluating results to choose the best solution and solve problems.
209,Computer and Information Research Scientists,Microsoft Visual Studio.NET,Technology Skills,Development environment software
210,Computer and Information Research Scientists,Waikato Environment for Knowledge Analysis Weka,Technology Skills,Graphical user interface development software
211,Computer and Information Research Scientists,Universal serial bus USB flash drives,Tools Used,High capacity removable media drives
212,Computer and Information Research Scientists,Structured query language SQL,Technology Skills,Data base user interface and query software
213,Computer and Information Research Scientists,Inductive Reasoning,Abilities,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
214,Computer and Information Research Scientists,Clustering software,Technology Skills,Clustering software
215,Computer and Information Research Scientists,Initiative,Work Styles,Job requires a willingness to take on responsibilities and challenges.
216,Computer and Information Research Scientists,Scala,Technology Skills,Object or component oriented development software
217,Computer and Information Research Scientists,Written Expression,Abilities,The ability to communicate information and ideas in writing so others will understand.
218,Computer and Information Research Scientists,Dependability,Work Styles,"Job requires being reliable, responsible, and dependable, and fulfilling obligations."
219,Computer and Information Research Scientists,"Participate in multidisciplinary projects in areas such as virtual reality, human-computer interaction, or robotics.",Task Statements,Core
220,Computer and Information Research Scientists,Magneto optical discs,Tools Used,Compact disks CDs
221,Computer and Information Research Scientists,CMAKE,Technology Skills,Development environment software
222,Computer and Information Research Scientists,Jupyter Notebook,Technology Skills,Object or component oriented development software
223,Computer and Information Research Scientists,Digital cameras,Tools Used,Digital cameras
224,Computer and Information Research Scientists,"Direct daily operations of departments, coordinating project activities with other departments.",Task Statements,Supplemental
225,Computer and Information Research Scientists,Optimization software,Technology Skills,Analytical or scientific software
226,Computer and Information Research Scientists,Computer aided design and drafting CADD software,Technology Skills,Computer aided design CAD software
227,Computer and Information Research Scientists,Getting Information,Work Activities,"Observing, receiving, and otherwise obtaining information from all relevant sources."
228,Computer and Information Research Scientists,Practical extraction and reporting language Perl,Technology Skills,Object or component oriented development software
229,Computer and Information Research Scientists,Oracle DBMS,Technology Skills,Data base management system software
230,Computer and Information Research Scientists,"Judging the Qualities of Things, Services, or People",Work Activities,"Assessing the value, importance, or quality of things or people."
231,Computer and Information Research Scientists,Microsoft Office,Technology Skills,Office suite software
232,Computer and Information Research Scientists,Writing,Skills,Communicating effectively in writing as appropriate for the needs of the audience.
233,Computer and Information Research Scientists,Greenhills Ada compilers,Technology Skills,Compiler and decompiler software
234,Computer and Information Research Scientists,Network interface cards NIC,Tools Used,Network interface cards
235,Computer and Information Research Scientists,Git,Technology Skills,File versioning software
236,Computer and Information Research Scientists,Microsoft Project,Technology Skills,Project management software
237,Computer and Information Research Scientists,Formula translation/translator FORTRAN,Technology Skills,Development environment software
238,Computer and Information Research Scientists,Analyzing Data or Information,Work Activities,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts."
239,Computer and Information Research Scientists,Design,Knowledge,"Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models."
240,Computer and Information Research Scientists,Ada,Technology Skills,Development environment software
241,Computer and Information Research Scientists,Originality,Abilities,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
242,Computer and Information Research Scientists,Number Facility,Abilities,"The ability to add, subtract, multiply, or divide quickly and correctly."
243,Computer and Information Research Scientists,Charm++,Technology Skills,Object or component oriented development software
244,Computer and Information Research Scientists,Articulated robots,Tools Used,Pick or place robots
245,Computer and Information Research Scientists,Social Perceptiveness,Skills,Being aware of others' reactions and understanding why they react as they do.
246,Computer and Information Research Scientists,Microsoft Windows XP,Technology Skills,Operating system software
247,Computer and Information Research Scientists,High end computer servers,Tools Used,High end computer servers
248,Computer and Information Research Scientists,Sun Microsystems Java 2 Platform Enterprise Edition J2EE,Technology Skills,Development environment software
249,Computer and Information Research Scientists,"Communicating with Supervisors, Peers, or Subordinates",Work Activities,"Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person."
250,Computer and Information Research Scientists,GitHub,Technology Skills,Application server software
251,Computer and Information Research Scientists,"Maintain network hardware and software, direct network security measures, and monitor networks to ensure availability to system users.",Task Statements,Supplemental
252,Computer and Information Research Scientists,High-speed networking testbeds,Tools Used,Content delivery networking equipment
253,Computer and Information Research Scientists,High-performance cluster HPC computers,Tools Used,High end computer servers
254,Computer and Information Research Scientists,Innovation,Work Styles,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
255,Computer and Information Research Scientists,Updating and Using Relevant Knowledge,Work Activities,Keeping up-to-date technically and applying new knowledge to your job.
256,Computer and Information Research Scientists,Systems Evaluation,Skills,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
257,Computer and Information Research Scientists,Analyze problems to develop solutions involving computer hardware and software.,Task Statements,Core
258,Computer and Information Research Scientists,Achievement/Effort,Work Styles,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
259,Computer and Information Research Scientists,English Language,Knowledge,"Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar."
260,Computer and Information Research Scientists,Persistence,Work Styles,Job requires persistence in the face of obstacles.
261,Computer and Information Research Scientists,Apache Pig,Technology Skills,Data base management system software
262,Computer and Information Research Scientists,Graphics workstations,Tools Used,Graphics tablets
263,Computer and Information Research Scientists,Monitoring,Skills,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
264,Computer and Information Research Scientists,Relational database management software,Technology Skills,Data base management system software
265,Computer and Information Research Scientists,Apache Solr,Technology Skills,Data base management system software
266,Computer and Information Research Scientists,Microsoft Visual Studio,Technology Skills,Development environment software
267,Social Science Research Assistants,Achievement,Work Values,"Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement."
268,Social Science Research Assistants,Adobe Systems Adobe Illustrator,Technology Skills,Graphics or photo imaging software
269,Social Science Research Assistants,Judgment and Decision Making,Skills,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
270,Social Science Research Assistants,Critical Thinking,Skills,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems."
271,Social Science Research Assistants,Making Decisions and Solving Problems,Work Activities,Analyzing information and evaluating results to choose the best solution and solve problems.
272,Social Science Research Assistants,Performing Administrative Activities,Work Activities,Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.
273,Social Science Research Assistants,"Verify the accuracy and validity of data entered in databases, correcting any errors.",Task Statements,Core
274,Social Science Research Assistants,Online library databases,Technology Skills,Information retrieval or search software
275,Social Science Research Assistants,"Provide assistance with the preparation of project-related reports, manuscripts, and presentations.",Task Statements,Core
276,Social Science Research Assistants,Interpreting the Meaning of Information for Others,Work Activities,Translating or explaining what information means and how it can be used.
277,Social Science Research Assistants,Attention to Detail,Work Styles,Job requires being careful about detail and thorough in completing work tasks.
278,Social Science Research Assistants,Processing Information,Work Activities,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data."
279,Social Science Research Assistants,Reading Comprehension,Skills,Understanding written sentences and paragraphs in work related documents.
280,Social Science Research Assistants,SAS,Technology Skills,Analytical or scientific software
281,Social Science Research Assistants,Integrity,Work Styles,Job requires being honest and ethical.
282,Social Science Research Assistants,Allocate and manage laboratory space and resources.,Task Statements,Supplemental
283,Social Science Research Assistants,Screen potential subjects to determine their suitability as study participants.,Task Statements,Supplemental
284,Social Science Research Assistants,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Work Activities,"Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity."
285,Social Science Research Assistants,Inductive Reasoning,Abilities,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
286,Social Science Research Assistants,Web browser software,Technology Skills,Internet browser software
287,Social Science Research Assistants,Concern for Others,Work Styles,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
