id,title,identifier,score_all,name
1,Data Scientist,15-1111.00,0.8950486996310665,Computer and Information Research Scientists
2,Business Intelligence Analyst,15-1199.08,0.9024828948732139,Business Intelligence Analysts
3,Human Resources Data Scientist,15-1111.00,0.8876945628719652,Computer and Information Research Scientists
4,Lead - Human Resource Data Scientist,15-1111.00,0.8929277239359874,Computer and Information Research Scientists
5,Machine Learning Engineer,15-1111.00,0.8387659142375605,Computer and Information Research Scientists
6,Data Scientist,15-1111.00,0.8897965258214158,Computer and Information Research Scientists
7,Associate Data Scientist,15-1111.00,0.9060401158511535,Computer and Information Research Scientists
8,Data Scientist I,15-1111.00,0.8846822801821487,Computer and Information Research Scientists
9,"Data Scientist, AI@Unity",15-1111.00,0.8979815446179235,Computer and Information Research Scientists
10,Data Scientist,15-1111.00,0.8846822801821487,Computer and Information Research Scientists
11,Data Scientist,15-1111.00,0.9074085887142642,Computer and Information Research Scientists
12,Data Scientist,15-1111.00,0.9041785894760552,Computer and Information Research Scientists
13,Jr. Data Science Developer,15-1111.00,0.8753799654742257,Computer and Information Research Scientists
14,Data Scientist,15-1111.00,0.8897965258214158,Computer and Information Research Scientists
15,Data scientist (summer intern),15-1111.00,0.7923508710497544,Computer and Information Research Scientists
16,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
17,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
18,"Manager of Data Science, RACE21 - Vancouver",15-1111.00,0.8998578115652939,Computer and Information Research Scientists
19,Data Scientist,15-1111.00,0.8979816171302325,Computer and Information Research Scientists
20,"Lead Educator, Data Science",15-1111.00,0.8595566040194689,Computer and Information Research Scientists
21,Jr. Data Science Developer,15-1111.00,0.8753799654742257,Computer and Information Research Scientists
22,Data Scientist,15-1111.00,0.8950486996310665,Computer and Information Research Scientists
23,Data Scientist - FIFA,15-1111.00,0.8662374445616909,Computer and Information Research Scientists
24,Applied Scientist,15-1111.00,0.8333574689822162,Computer and Information Research Scientists
25,Senior Data Scientist AI@Unity,15-1111.00,0.9179492470770364,Computer and Information Research Scientists
26,Mine Planning Engineer,15-1199.02,0.8235600060612078,Computer Systems Engineers/Architects
27,Human Resources Administrator,15-1141.00,0.7583857899207335,Database Administrators
28,"Associate Director, Engineering Admissions",19-4061.00,0.8361660156892451,Social Science Research Assistants
