id,title,identifier,score_all,name
792,Analyste - données et rapports / Data and Reporting Analyst,15-1199.08,0.7088252349893935,Business Intelligence Analysts
793,Regulatory Information Analyst,13-2099.01,0.7675763241300225,Financial Quantitative Analysts
794,Data analyst,15-1111.00,0.8613167531821735,Computer and Information Research Scientists
795,Data Analyst (CRX),15-1199.07,0.8343401905942488,Data Warehousing Specialists
796,"Research Analyst, Airline Data Partnerships - Air",15-1121.00,0.8399316741424088,Computer Systems Analysts
797,Data Analyst,15-1111.00,0.8969330980948383,Computer and Information Research Scientists
798,Data Analyst,15-1111.00,0.8969330980948383,Computer and Information Research Scientists
799,"Fraud Analyst, Customer Contact Centre",15-1121.00,0.8291240569374471,Computer Systems Analysts
800,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
801,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
802,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
803,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
804,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
805,Game Intelligence Analyst,15-1199.08,0.9232149693511402,Business Intelligence Analysts
806,Data Analyst,13-2099.01,0.8678581492867845,Financial Quantitative Analysts
807,Data and Reporting Analyst/Analyste des données et des rappo...,15-1199.08,0.3701916546721864,Business Intelligence Analysts
808,Data Extracting and Compiling Analyst,15-1141.00,0.7765165672818364,Database Administrators
809,Data Analyst,15-1121.00,0.8674215077957013,Computer Systems Analysts
810,Performance Reporting Analyst,13-2099.01,0.8919341336058039,Financial Quantitative Analysts
811,"Data Analyst, Benefits Administration",15-1199.08,0.8597262564840108,Business Intelligence Analysts
812,Analyst-Business Systems,15-1121.00,0.9021387276444696,Computer Systems Analysts
813,Analyste-programmeur de données - Data Programmer-Analyst,15-1199.08,0.683703205634869,Business Intelligence Analysts
814,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
815,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
816,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
817,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
818,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
819,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
820,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
821,Business Data Analyst,15-1121.00,0.873977597824169,Computer Systems Analysts
822,BUDGET ANALYST,15-1199.08,0.8384297694513576,Business Intelligence Analysts
823,Operations Analyst,15-1199.08,0.8453972409420023,Business Intelligence Analysts
824,Commercial Operations Data Analyst,15-1121.00,0.8764093006469528,Computer Systems Analysts
825,Spécialiste CRM (Débute le 4 mai pour 15 semaines) / B2B Dat...,15-1141.00,0.6368032447326333,Database Administrators
826,Data Analyst (Customer Care),15-1121.00,0.8685097117197981,Computer Systems Analysts
827,Data Analyst - HVAC,15-1121.00,0.8549567051131868,Computer Systems Analysts
828,Social Media Analyst,15-1199.08,0.824000415113933,Business Intelligence Analysts
829,Senior Data Analyst - Air,15-1121.00,0.8558735221789886,Computer Systems Analysts
830,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
831,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
832,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
833,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
834,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
