id,title,identifier,score_all,name
1,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
2,Business Intelligence Analyst,15-1199.08,0.9433986367504492,Business Intelligence Analysts
3,Human Resources Data Scientist,15-1111.00,0.8464189784714152,Computer and Information Research Scientists
4,Lead - Human Resource Data Scientist,15-1111.00,0.8423438594943358,Computer and Information Research Scientists
5,Machine Learning Engineer,15-1133.00,0.8074608571489341,"Software Developers, Systems Software"
6,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
7,Associate Data Scientist,15-2041.00,0.8620397317778846,Statisticians
8,Data Scientist I,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
9,"Data Scientist, AI@Unity",15-1111.00,0.8419278385061744,Computer and Information Research Scientists
10,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
11,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
12,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
13,Jr. Data Science Developer,15-1111.00,0.8042396649155876,Computer and Information Research Scientists
14,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
15,Data scientist (summer intern),15-1111.00,0.7923508710497544,Computer and Information Research Scientists
16,Data Scientist - Price Point – Start-up company,15-1111.00,0.7797406310965401,Computer and Information Research Scientists
17,Data Scientist - Price Point – Start-up company,15-1111.00,0.7797406310965401,Computer and Information Research Scientists
18,"Manager of Data Science, RACE21 - Vancouver",15-1141.00,0.8153239043567144,Database Administrators
19,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
20,"Lead Educator, Data Science",15-1111.00,0.8265826257048179,Computer and Information Research Scientists
21,Jr. Data Science Developer,15-1111.00,0.8042396649155876,Computer and Information Research Scientists
22,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
23,Data Scientist - FIFA,15-1111.00,0.7278903326569217,Computer and Information Research Scientists
24,Applied Scientist,15-2021.00,0.814815018325192,Mathematicians
25,Senior Data Scientist AI@Unity,15-2041.00,0.8635531344116577,Statisticians
26,Mine Planning Engineer,15-1199.02,0.8235600060612078,Computer Systems Engineers/Architects
27,Human Resources Administrator,15-1141.00,0.7583857899207335,Database Administrators
28,"Associate Director, Engineering Admissions",19-4061.00,0.8361660156892451,Social Science Research Assistants
29,Data Center Operations Engineer,15-1199.07,0.8709266126019679,Data Warehousing Specialists
30,Software Engineer Level 3,15-1133.00,0.8600166214797822,"Software Developers, Systems Software"
31,DATA SCIENTIST,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
32,Data Scientist - Price Point – Start-up company,15-1111.00,0.7797406310965401,Computer and Information Research Scientists
33,Big Data Operations Specialist,15-1199.07,0.855341180249396,Data Warehousing Specialists
34,Senior Data Scientist,15-2041.00,0.8635531289286119,Statisticians
35,"Director, Data Science Initiatives",15-1111.00,0.8134126003709303,Computer and Information Research Scientists
46,Data Scientist - Price Point – Start-up company,15-1111.00,0.7797406310965401,Computer and Information Research Scientists
47,Business Intelligence Analyst,15-1199.08,0.9433986367504492,Business Intelligence Analysts
48,Lead - Human Resource Data Scientist,15-1111.00,0.8423438594943358,Computer and Information Research Scientists
49,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
50,Associate Data Scientist,15-2041.00,0.8620397317778846,Statisticians
51,Data Scientist I,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
52,"Data Scientist, AI@Unity",15-1111.00,0.8419278385061744,Computer and Information Research Scientists
53,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
54,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
55,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
56,Jr. Data Science Developer,15-1111.00,0.8042396649155876,Computer and Information Research Scientists
57,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
58,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
59,Human Resources Data Scientist,15-1111.00,0.8464189784714152,Computer and Information Research Scientists
60,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
61,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
62,"Manager of Data Science, RACE21 - Vancouver",15-1141.00,0.8153239043567144,Database Administrators
63,Data scientist (summer intern),15-1111.00,0.7923508710497544,Computer and Information Research Scientists
64,"Lead Educator, Data Science",15-1111.00,0.8265826257048179,Computer and Information Research Scientists
65,Jr. Data Science Developer,15-1111.00,0.8042396649155876,Computer and Information Research Scientists
66,Data Scientist,15-1111.00,0.8419278445674429,Computer and Information Research Scientists
67,Data Scientist - FIFA,15-1111.00,0.7278903326569217,Computer and Information Research Scientists
68,Applied Scientist,15-2021.00,0.814815018325192,Mathematicians
69,Senior Data Scientist AI@Unity,15-2041.00,0.8635531344116577,Statisticians
70,"Data Scientist, Analytics and Machine Learning",15-1111.00,0.8745661398828053,Computer and Information Research Scientists
71,Data Architect (Advanced Analytics),15-1199.06,0.8720911910078812,Database Architects
72,Human Resources Data Scientist,15-1111.00,0.8464189784714152,Computer and Information Research Scientists
73,Business Intelligence Analyst,15-1199.08,0.9433986367504492,Business Intelligence Analysts
74,Data Scientist - Price Point – Start-up company,15-1111.00,0.7797406310965401,Computer and Information Research Scientists
75,Business Intelligence Analyst,15-1199.08,0.9433986367504492,Business Intelligence Analysts
76,Machine Learning Engineer,15-1133.00,0.8074608571489341,"Software Developers, Systems Software"
77,Machine learning / image processing - Apr to Sep,15-1141.00,0.59046008500764,Database Administrators
78,Senior Data Scientist,15-2041.00,0.8635531289286119,Statisticians
79,Data Scientist - Advertising & Attribution,15-1111.00,0.803558603369873,Computer and Information Research Scientists
